date,value
2014-12-22,139
2014-12-23,109
2014-12-24,97
2014-12-25,71
2014-12-26,110
2014-12-27,144
2014-12-28,129
2014-12-29,88
2014-12-30,71
2014-12-31,86
2015-01-01,183
2015-01-02,86
2015-01-03,104
2015-01-04,106
2015-01-05,79
2015-01-06,95
2015-01-07,79
2015-01-08,86
2015-01-09,103
2015-01-10,71
2015-01-11,108
2015-01-12,58
2015-01-13,88
2015-01-14,89
2015-01-15,113
2015-01-16,93
2015-01-17,111
2015-01-18,111
2015-01-19,104
2015-01-20,125
2015-01-21,87
2015-01-22,81
2015-01-23,82
2015-01-24,105
2015-01-25,98
2015-01-26,92
2015-01-27,71
2015-01-28,82
2015-01-29,74
2015-01-30,87
2015-01-31,80
2015-02-01,103
2015-02-02,79
2015-02-03,66
2015-02-04,67
2015-02-05,79
2015-02-06,84
2015-02-07,103
2015-02-08,117
2015-02-09,81
2015-02-10,82
2015-02-11,69
2015-02-12,66
2015-02-13,63
2015-02-14,83
2015-02-15,109
2015-02-16,65
2015-02-17,73
2015-02-18,74
2015-02-19,77
2015-02-20,61
2015-02-21,70
2015-02-22,108
2015-02-23,86
2015-02-24,64
2015-02-25,79
2015-02-26,69
2015-02-27,68
2015-02-28,103
2015-03-01,106
2015-03-02,86
2015-03-03,101
2015-03-04,82
2015-03-05,74
2015-03-06,66
2015-03-07,136
2015-03-08,131
2015-03-09,96
2015-03-10,95
2015-03-11,111
2015-03-12,73
2015-03-13,105
2015-03-14,129
2015-03-15,140
2015-03-16,96
2015-03-17,95
2015-03-18,115
2015-03-19,85
2015-03-20,114
2015-03-21,127
2015-03-22,122
2015-03-23,74
2015-03-24,109
2015-03-25,85
2015-03-26,105
2015-03-27,100
2015-03-28,120
2015-03-29,107
2015-03-30,93
2015-03-31,105
2015-04-01,96
2015-04-02,110
2015-04-03,116
2015-04-04,130
2015-04-05,142
2015-04-06,98
2015-04-07,91
2015-04-08,92
2015-04-09,85
2015-04-10,92
2015-04-11,104
2015-04-12,143
2015-04-13,121
2015-04-14,84
2015-04-15,90
2015-04-16,90
2015-04-17,130
2015-04-18,169
2015-04-19,138
2015-04-20,86
2015-04-22,92
2015-04-23,89
2015-04-24,81
2015-04-25,119
2015-04-26,130
2015-04-27,115
2015-04-28,93
2015-04-29,124
2015-04-30,94
2015-05-01,99
2015-05-02,110
2015-05-03,159
2015-05-04,108
2015-05-05,101
2015-05-06,127
2015-05-07,112
2015-05-08,87
2015-05-09,141
2015-05-10,142
2015-05-11,101
2015-05-12,119
2015-05-13,121
2015-05-14,85
2015-05-15,107
2015-05-16,147
2015-05-17,176
2015-05-18,106
2015-05-19,113
2015-05-20,116
2015-05-21,107
2015-05-22,100
2015-05-23,135
2015-05-24,161
2015-05-25,162
2015-05-26,156
2015-05-27,108
2015-05-28,113
2015-05-29,112
2015-05-30,153
2015-05-31,157
2015-06-01,107
2015-06-02,97
2015-06-03,102
2015-06-04,76
2015-06-05,84
2015-06-06,173
2015-06-07,144
2015-06-08,123
2015-06-09,119
2015-06-10,124
2015-06-11,115
2015-06-12,101
2015-06-13,150
2015-06-14,149
2015-06-15,94
2015-06-16,98
2015-06-17,101
2015-06-18,105
2015-06-19,105
2015-06-20,139
2015-06-21,159
2015-06-22,109
2015-06-23,123
2015-06-24,103
2015-06-25,97
2015-06-26,110
2015-06-27,135
2015-06-28,143
2015-06-29,111
2015-06-30,110
2015-07-01,113
2015-07-02,133
2015-07-03,104
2015-07-04,202
2015-07-05,208
2015-07-06,106
2015-07-07,106
2015-07-08,95
2015-07-09,107
2015-07-10,116
2015-07-11,107
2015-07-12,180
2015-07-13,115
2015-07-14,115
2015-07-15,141
2015-07-16,115
2015-07-17,135
2015-07-18,152
2015-07-19,169
2015-07-20,119
2015-07-21,104
2015-07-22,129
2015-07-23,110
2015-07-24,127
2015-07-25,142
2015-07-26,151
2015-07-27,122
2015-07-28,92
2015-07-29,103
2015-07-30,135
2015-07-31,109
2015-08-01,167
2015-08-02,194
2015-08-03,122
2015-08-04,113
2015-08-05,118
2015-08-06,93
2015-08-07,118
2015-08-08,178
2015-08-09,147
2015-08-10,116
2015-08-11,114
2015-08-12,106
2015-08-13,98
2015-08-14,110
2015-08-15,122
2015-08-16,185
2015-08-17,102
2015-08-18,100
2015-08-19,99
2015-08-20,92
2015-08-21,134
2015-08-22,143
2015-08-23,154
2015-08-24,127
2015-08-25,116
2015-08-26,96
2015-08-27,94
2015-08-28,98
2015-08-29,160
2015-08-30,147
2015-08-31,100
2015-09-01,132
2015-09-02,125
2015-09-03,90
2015-09-04,102
2015-09-05,163
2015-09-06,168
2015-09-07,132
2015-09-08,110
2015-09-09,115
2015-09-10,97
2015-09-11,120
2015-09-12,158
2015-09-13,157
2015-09-14,90
2015-09-15,104
2015-09-16,96
2015-09-17,114
2015-09-18,103
2015-09-19,152
2015-09-20,178
2015-09-21,90
2015-09-22,127
2015-09-23,118
2015-09-24,93
2015-09-25,110
2015-09-26,135
2015-09-27,165
2015-09-28,137
2015-09-29,92
2015-09-30,100
2015-10-01,115
2015-10-02,92
2015-10-03,102
2015-10-04,109
2015-10-05,97
2015-10-06,94
2015-10-07,87
2015-10-08,89
2015-10-09,107
2015-10-10,145
2015-10-11,113
2015-10-12,100
2015-10-13,99
2015-10-14,97
2015-10-15,94
2015-10-16,80
2015-10-17,164
2015-10-18,121
2015-10-19,116
2015-10-20,103
2015-10-21,106
2015-10-22,102
2015-10-23,77
2015-10-24,141
2015-10-25,141
2015-10-26,99
2015-10-27,93
2015-10-28,113
2015-10-29,93
2015-10-30,103
2015-10-31,157
2015-11-01,148
2015-11-02,114
2015-11-03,111
2015-11-04,105
2015-11-05,93
2015-11-06,103
2015-11-07,118
2015-11-08,126
2015-11-09,111
2015-11-10,87
2015-11-11,98
2015-11-12,113
2015-11-13,113
2015-11-14,113
2015-11-15,114
2015-11-16,121
2015-11-17,119
2015-11-18,77
2015-11-19,83
2015-11-20,112
2015-11-21,108
2015-11-22,128
2015-11-23,108
2015-11-24,95
2015-11-25,108
2015-11-26,102
2015-11-27,111
2015-11-28,126
2015-11-29,114
2015-11-30,102
2015-12-01,98
2015-12-02,114
2015-12-03,89
2015-12-04,102
2015-12-05,138
2015-12-06,121
2015-12-07,80
2015-12-08,115
2015-12-09,101
2015-12-10,114
2015-12-11,105
2015-12-12,112
2015-12-13,139
2015-12-14,109
2015-12-15,104
2015-12-16,113
2015-12-17,102
2015-12-18,96
2015-12-19,132
2015-12-20,147
2015-12-21,127
2015-12-22,97
2015-12-23,113
2015-12-24,98
2015-12-25,123
2015-12-26,130
2015-12-27,154
2015-12-28,107
2015-12-29,86
2015-12-30,89
2015-12-31,115
2016-01-01,175
2016-01-02,111
2016-01-03,138
2016-01-04,99
2016-01-05,95
2016-01-06,94
2016-01-07,119
2016-01-08,115
2016-01-09,119
2016-01-10,95
2016-01-11,113
2016-01-12,89
2016-01-13,105
2016-01-14,82
2016-01-15,106
2016-01-16,124
2016-01-17,108
2016-01-18,96
2016-01-19,83
2016-01-20,74
2016-01-21,87
2016-01-22,84
2016-01-23,127
2016-01-24,81
2016-01-25,132
2016-01-26,100
2016-01-27,109
2016-01-28,103
2016-01-29,131
2016-01-30,174
2016-01-31,121
2016-02-01,89
2016-02-02,99
2016-02-03,90
2016-02-04,94
2016-02-05,100
2016-02-06,123
2016-02-07,143
2016-02-08,90
2016-02-09,89
2016-02-10,79
2016-02-11,78
2016-02-12,84
2016-02-13,95
2016-02-14,99
2016-02-15,85
2016-02-16,94
2016-02-17,89
2016-02-18,90
2016-02-19,105
2016-02-20,145
2016-02-21,126
2016-02-22,77
2016-02-23,103
2016-02-24,76
2016-02-25,81
2016-02-26,91
2016-02-27,128
2016-02-28,113
2016-02-29,93
2016-03-01,112
2016-03-02,75
2016-03-03,75
2016-03-04,94
2016-03-05,134
2016-03-06,133
2016-03-07,124
2016-03-08,128
2016-03-09,112
2016-03-10,103
2016-03-11,124
2016-03-12,141
2016-03-13,125
2016-03-14,125
2016-03-15,111
2016-03-16,103
2016-03-17,105
2016-03-18,122
2016-03-19,137
2016-03-20,99
2016-03-21,120
2016-03-22,108
2016-03-23,115
2016-03-24,112
2016-03-25,119
2016-03-26,135
2016-03-27,156
2016-03-28,117
2016-03-29,106
2016-03-30,114
2016-03-31,127
2016-04-01,102
2016-04-02,126
2016-04-03,114
2016-04-04,91
2016-04-05,90
2016-04-06,103
2016-04-07,81
2016-04-08,90
2016-04-09,105
2016-04-10,172
2016-04-11,110
2016-04-12,98
